He thrust the * across the table towards Mooney_ went around_ and closed the door.,telegram,sounder,capable,crawled
Mooney * took charge of the engineer.,now,convicted,fireplace,organization
A less known or a less valuable guest * hardly have kept a place in the big dining room at this hour.,would,crisp,caused,arc
Walker’s face wrinkled into a * smile.,twisted,listening,employment,assemble
There was hardly a sound_ * astonishment brought everybody in the car even those half asleep_ up straining in their seats.,but,flung,cord,motion
I was ready * it with these strange adventurers.,for,foresaw,disregard,performance
\"You can kiss *_ just once!\" she said.,her,searchingly,opposition,hell
He packed the seed into the * bowl with his thumb and set it above the flame.,pipe,unconcernedly,obscure,exit
Colonel Swank resumed his narrative as though there had * no interruption.,been,thrown,princess,jurors
In a very short time Secret Service men_ post-office inspectors_ and all the best experts in the service of the government were * the scene.,on,request,attended,unlighted
He got the staggering shake-up of * life.,his,hobos,justice,conception
The notes were in sheets and unsigned_ in the form that the United States Treasury * accustomed to send currency to the national banks.,is,slowly,dollars,iron
He * that train to go on and he did not propose to disable it.,wished,disturbed,didnt,talking
\"Surely Bartoldi * him_\" I said.,knew,stepped,please,rod
This state * feeling requires a word here.,of,bills,clinging,survive
White had barely space enough to pass behind this door in order to reach * lavatory_ but he edged himself deliberately through without arousing the slightest suspicion.,the,obey,halfpast,amused
The door to the garage was locked and White turned the lock * some implement which I could not see.,with,careless,accustomed,unconvinced
It had occurred to him that_ perhaps_ these unfortunate derelicts would be charged * the robbery.,with,tip,loaded,discount
The authorities could be expected to * every effort to run down and capture the highwayman who should undertake a repetition of these affairs.,make,whose,womans,indiscriminate
Suddenly * the silence he swore softly.,in,angular,distinguishing,deeplined
Here_ Mooney * White opened the mail sack and examined the packages of money.,and,injection,contented,feet
The lawyer * his client was insane.,thought,whine,discussion,retained
The Earl of Rexford had been * last man to go.,the,gratefully,jinn,display
For some reason that I do not know_ Mooney was confident that he had finally located the treasure train for which he had * always looking.,been,farthest,roadside,laws
We had supper * afterwards went up to our room.,and,slightest,found,bottom
I could see Mooney * as he read the telegram.,smile,college,illomened,tired
At the first stream we crossed * tossed it into the water.,he,clenched,greatly,halfburned
He had drawn on his resources in America until every item of his great fortune was pledged_ and by * error_ this estate_ in trust_ had gone into the common fund.,some,confidential—as,corridors,adequate
She left with the servant * to pay for the telephone call and went out.,money,forgotten,burlap,unexpected
The story of his way upward in * service is not written out here.,that,finally,split,acted
He pointed out very clearly what would happen_ * he was right.,and,walked,manage,safe
These Mooney packed in the dress-suit case; then he got up and we went back to the door of the car * which we had entered.,through,broke,creek,manage
In the meantime_ Mooney had brought the engineer and fireman back to the mail car and had taken the mail clerks * of the car.,out,confident,files,every
He stepped back with a * cry_ and we were instantly in the express car with the door closed and locked behind us.,little,indirections,lobby,articles
The English law_ having put the girl into his charge_ would not concern itself about * that could not be established.,intentions,knocked,pump,stopping
You never know where * road’s going.,the,inspection,comment,forgeries
The sheriff introduced Mooney to * conductor and showed his telegram from the Department of Justice.,the,life—its,snow,needed
Or * least it seemed like that to Arnbush.,at,give,circumstances,placidity
When * engine stopped under this unexpected red light of the semaphore a negro porter_ seeing two masked men_ ran to the baggage car and got the vehicle out on the ground.,the,impression,wildest,explanatory
The express agent opened the safe_ * out the envelope_ gave it to him_ and locked the safe again.,took,pull,inspectors,fringed
\"What * to Westridge?\" I said.,happened,bronze,chanced,skin
We must have presented every element * terror to him—the deadly weapons and the three looming figures in their black peaked caps.,of,sagged,along,painfully
We were very near to our destination_ it proved_ and in half an hour we * a water tank.,reached,intending,just,extremity
The man turned instantly like a * animal.,trapped,piping,climbed,sway
He was more disturbed than he had been willing * admit.,to,includes,willing,drugged
When the two men got into the car_ I did * know who was with White_ Mooney was so changed.,not,front,coal,shadowed
Their desperate * writhings almost amused him.,legal,situation,could,muzzle
I walked_ and on the road I was overtaken * an adventure.,by,fields,eh,replace
I had not a cent in the world and I had walked that afternoon * miles into the town.,ten,stretched,find,methods
The post-office clerk who had * instructed to look out for these numbers immediately called the two government detectives to the window.,been,bullet,reverse,told
This girl_ * and inexperienced_ was entirely at Dercum’s will; as her guardian he would have exclusive control of her_ and_ with the man’s cleverness_ what he wished he would accomplish.,lovely,to,display,ideal
And he * the eager query_ foremost in his mind.,put,becomes,shadow,descended—the
White unlocked the door and we pushed the car in; then he locked it * carefully.,again,retained,youthful,engine
Mooney went ahead of * to the passenger car.,me,secure,rest,fortunate
I had given * to the girl when she went into the afternoon performances.,it,dense,days,gives
It was the active principle in all fermentation; one * it from green seed_ heat_ and a pinch of fungus.,got,accomplish,shining,cover
The * had long ceased to be dark.,night,twentyfive,mark,immobility
He observed it closely and at one * saw a man’s hand_ which was all the evidence a person like Mooney needed.,time,present,convinced,compass
Nobody would ever have taken Walker for the chief of the * Secret Service.,government,arrived,guest,perished
The attorney made * exasperated gesture.,an,created,any,going
So * was it that we never heard anything more about it.,successful,ease,monsters,roller
\"It * one of the perquisites of the Secret Service_\" he said.,is,presented,sea,drugged
