As he did so he saw that the figure up the ravine was joined by * who came from out of the gorge.,another,socially,squatting,talking
The *_ on arriving again at the moraine_ after some search found that the trail turned to the right_ but was covered with fresh snow_ which was the cause of their missing it.,boys,department,camped,muffled
It was crossed and marked by scores of thread-like_ glistening lines_ the streams and canals that carried water * its fields and meadows.,over,everything,treading,nothing
In a moment_ however_ the voice whimpered complainingly_ and the boys thought * was surely a person in distress.,it,two,closed,abundant
\"I hope he will_ and chase after us.\" While the boys were talking_ they carefully drew the ladder up and laid it *_ well back from the edge.,down,assistants,buckled,mates
At * foot of the mountain they encountered a well-traveled trail_ but as it was plain that they had not yet reached the lowest level of the valley_ they decided to continue a little farther on the same line in the hope of finding water.,the,mined,year,date
By * and pulling_ Raymond was transferred safely to the boat.,lifting,hoped,adventure,vainly
The figure was coming down the ravine_ * below the gorge.,just,leisurely,listening,dangerous
When the boys started out they were obliged to drop * to the bottom of the cañon again to pick up the trail.,down,medicine,mark,insure
For a moment * had a wild idea that only by maintaining his hold of the ship could he be saved_ and he clung tenaciously to the casing.,he,clubbing,turn,funnel
The boys clambered down the * and trudged through the sand to their camping-place_ Raymond grumbling as they went.,rocks,peace,exposing,succession
The fiery globes remained stationary_ and colder shivers ran * the boys’ spines.,along,peaks,crossed,unpalatable
Of Mongolian origin also_ but Russian in appearance_ were several Mordvin * going back to their homes in Simbirsk and Samara.,families,desired,make,overwhelming
They found that the rains which had rusted the bars had_ * course_ run downward_ so that the irons_ while nearly rusted through at the lower ends_ were still very solid at the top.,of,slightly,burdened,terror
And Raymond held up a foot on which the shoe was * holding together.,barely,husband,castaways,plank
\"You see the Princess Mary is good for something_ * she is old_\" said Captain Foster proudly as he returned to the boys.,if,extreme,forcibly,bluff
They also made a great deal of the delightful long voyage_ knowing their mother’s * of the water; but Mrs. Porter remained firm_ and it was finally arranged as she had suggested.,enjoyment,together,signalbutton,slush
The boys imagined the two men who were talking * be sitting in the sun in front of their own door.,to,unusual,laboring,inspected
\"I’m going to divide my money_\" said Sidney_ \"and you had better do the same. We can’t tell what may happen on the road.\" He knotted the greater * of the gold which he carried in a handkerchief and suspended it from his neck underneath all of his clothes.,part,jar,sick,courage
It was high time that * coats were made to perform their proper office again_ for the wind had become very cold_ and the spray constantly drenched the occupants of the raft.,the,luxury,cliffs,cultivated
On the right bank * the Volga there are usually bluffs_ sometimes quite high hills_ while much of the country on the left bank is low and flat.,of,cruisers,trembling,inside
A cold night wind came down off the high mountains and whistled and wailed through the little ravine_ but the boys in * cave were out of its course_ and its moaning_ instead of disturbing them_ made them sleep sounder.,their,call,neared,huge
At first the flurries of snow were light and rather * than otherwise_ but as the boys gained in altitude the storms increased in density and in severity.,fun,eked,bad,impatience
On and on they went_ with only one thought_ * hurry forward_ the sooner to reach water.,to,pursue,bound,fallen
But with the rain came * cold_ and that was heart-breaking.,bitter,made,gaze,dangerous
\"Won’t * eat a little bread first_ Ray?\" asked his brother.,you,encouraged,return,floor
So_ usually_ while the boys * floundering through a deep deposit of fresh snow_ they were able to see_ ahead of them_ the trail where it passed over the old hard snow of former years.,were,bought,whisper,muttering
When Mr. Porter had disappeared with the officer_ and the man who was_ apparently_ the officer’s superior_ the boys * left gazing at each other in consternation.,were,gangplank,slipping,strenuous
