\"The little fool has * that the artist is more in my line_ and is jealous_\" he mused.,seen,island,gazed,steadily
A very cursory *_ conducted in the quietest possible manner_ convinced the captain that he had come upon a means of espionage.,inspection,happier,darkness,head
This supposition is_ * the whole_ correct.,upon,recent,mistress,readily
Being without money_ and possessing no credit with anyone here_ Hilton took the only * open to him under the circumstances_ unless he had been willing to seek work_ and remain here long enough to save money for his passage.,course,matches,probably,tail
\"Not that_ my dear child_\" * Mrs. Riddell’s trembling protest.,was,ponderous,questioningly,line
It was half-past nine when at last his vigil was rewarded * the sight he hoped for.,by,saved,illumination,cigarette
Regulating his movements with all possible care_ Mr. Bootle contrived to obtain a good view of the persons seated round the *_ occupied in partaking of supper.,table,propensities,wagons,lips
Towards one o’clock_ * was dozing off_ when a slight noise awoke him.,he,gain,few,liked
They * all tried to persuade Mrs. Riddell to remain at home_ fearing that the excitement might be too much for her.,had,occurs,echoed,injustice
\"No_ *_\" was the immediate verdict.,no,establishment,luxuries,accent
Annie was only too thankful to escape from the rank atmosphere_ in which she felt * choked_ although she successfully managed to hide her discomfort from others.,almost,amounted,piece,bobbing
Gregory Staines played steadily on—first with one player_ and * with another; first losing_ then winning a game_ with apparently commendable impartiality.,then,if,story,warm
One of his * reasons for not returning to Malta was due to a fright he got when leaving that place.,principal,rate,balloonists,cargo
So said he_ feeling glad that so natural an explanation of * confusion was at hand.,his,privacy,scene,criminals
Among the onlookers were a few whose attention was the result of curiosity alone; but the greater part of the small crowd assembled * the dock gates had business of some sort on board.,at,then,testimonials,birthday
But she * back presently_ quite composed_ and ready to talk things over quietly.,came,heartsick,inattentively,kind
But—will the * be premature?,disclosure,we,health,worn
For she had already * revolving a plot in her mind in which the sergeant-major played a prominent part_ and her first glance at him convinced her that he was a man whom she could trust.,been,stones,any,bore
Nor did she raise any objections when Miss Stratton announced that she wished to bring another boarder with her in the shape of a big Newfoundland dog_ who was even now * outside for her.,waiting,aforementioned,worthy,guise
His request was looked upon as reasonable enough_ and_ upon the whole_ * was well treated.,he,flag,weeping,dealings
\"Live to wear it!\" was * optimistic rejoinder.,the,floating,knowing,noticing
\"But you won’t * him away from us?\" pleaded Miss Margaret_ anxiously.,take,three,has,carving
At Malta Major Colbrook met his wife on board the steamer_ and his attention was speedily directed * the new friends she had made.,to,fancied,contentedly,hoisted
