For a * he lay wondering whether someone had fallen overboard or not.,moment,hide,oclock,yes
With ears and eyes strained to their utmost tension_ he waited for he scarcely * what.,knew,gain,keeping,communicated
For a few seconds Mr. Torrens did * reply.,not,striking,conditions,rescued
Phœbe Dollman also * her slight illhumour_ and looked with interest upon the tall golden-haired beauty approaching the door.,forgot,spark,convict,prone
And it had been found necessary to have a good fire in the dining-room_ as everybody * complaining of the cold.,was,occupation,remains,describe
\"God be thanked_ Harley will soon be free!\" said Annie_ the tears of joy running * her cheeks.,down,feeling,bed,any
\"I believe what you *_\" remarked the Rev.,say,circumstantial,based,conducted
Mr. Staines seized this plan with avidity_ * almost overwhelmed his informant with questions_ all of which related in some way or other to the supposed habits and circumstances of the myth which had been invoked solely in Harley Riddell’s interests.,and,pitch,despondent,nasty
His transaction with Mr. Torrens was the first for which he felt the law might have a legitimate * upon him.,grip,robbery,formed,yours
The adventure he proposed was a * risky one.,somewhat,aptitude,urgent,readiness
What was * for the sake of a mere dog_ dared not be denied to a man_ and every effort was at once made to overtake the plucky swimmer_ who was swiftly nearing the object he was striking for.,refused,eccentric,fetched,safety
She took it with trembling fingers_ but gained courage_ when she *_ at a glance_ that the news was not what she had feared.,saw,exceeded,carry,attire
But the reader hardly needs * be told that Gibraltar saw nothing of Mr. Bootle that evening.,to,returning,painful,health
But the latter is accomplished at last_ and the captain places his share in his * desk_ which he locks very carefully.,private,necessity,spared,engineer
Williamson_ having acknowledged her mistress’s order with due deference_ hurried away to expedite matters in the lower *_ and Miss Margaret Cory lost no more time in visiting her niece_ whom she found sobbing as though her heart was breaking.,regions,tried,sometimes,having
He had risen from the ranks by merit alone_ and had nothing to live upon * his pay.,but,small,furtively,complaining
\"It cannot prove valueless_\" * Annie now_ with considerable decision.,said,younger,attack,sensible
Briny_ too_ * in for his share of attention.,came,home,stitched,rain
Hilton Riddell makes his mother’s heart happy by his devotion to her_ and she has no fear that the day will come when he will crave for the exclusive society of a * of his own years.,companion,visiting,wellshaped,grip
In height and breadth he somewhat exceeded the average_ but his * was seen to be clumsy when he walked_ although his proportions were regular enough.,gait,mutually,lower,balloonists
It was agreed to follow Major Colbrook’s advice in the main_ but our friends preferred to * on to Port Said without much more delay.,go,abjectly,severity,dived
\"Why_ I do believe she is struck * me_\" he thought_ complacently.,with,dozing,discover,making
Beside him sat a stalwart * fellow_ of soldierly bearing_ who made it his business to tighten his bonds and gags_ every time that he struggled to free himself.,young,summit,privations,audience
Of the brother who thought * for his sake he had perished?,that,vapid,quietly,supposed
Pedro_ who_ by the way_ was the steward of the \"Halcyon_\" was already fatigued by the vigorous exertions * had made.,he,photographers,tidings,ostensibly
Greatly to his delight_ it proved to be a French window_ opening into the garden_ which * now dark and deserted_ but from which it was easy to emerge unobserved into a lane which communicated with the main street.,was,affection,strengthened,whichever
For the next ten minutes Mr. Trace finds connected thought impossible_ but_ with his eye put close to the peephole_ is taking a * circumscribed view of the scene being enacted in the captain’s berth.,necessarily,notions,pounds,plan
His refusal to doff his waistcoat when urged to do so arose from * fact that it as well as the belt had some valuable diamonds stitched into its lining_ and he preferred the risk of drowning to the certainty of poverty.,the,little,accelerate,bewildering
Both Millie and Phœbe were stricken with sudden awe before this brief glimpse of an anguish which evidently surpassed anything they had ever dreamed of_ and * hearts went out tenderly towards Miss Stratton.,their,impending,open,took
A boat was manned and lowered with astonishing quickness_ and amid the suppressed cries of some_ and the encouraging shouts of others_ the rowers bent to * work_ and gave speedy promise of succour.,their,responsibility,confidences,lonely
For was he not an accessory * the fact?,after,vicars,finds,play
Annie’s hearers were too astonished and mystified to * much.,say,show,dealings,richer
As we know_ darkness came on while the aeronauts were still being whirled away from the steamer which was to have overtaken them_ and they would have perished but for the opportune arrival * the ss.,of,whoever,arrange,mode
The aeronaut was a man of great experience_ and had an assistant in whom he had * confidence.,every,unscrupulous,gratified,prize
A few weeks after the above conversation_ an elderly gentleman in clerical garb was having * somewhat heated discussion with a private detective.,a,violently,observations,mistresss
The detective_ who was immediately sent for_ could * no evidence that any part of the premises had been feloniously entered_ or that the safes had been tampered with.,find,suffering,womans,type
Then came the berth allotted to Mr. Torrens_ and * which the officers occupied.,those,describing,boardinghouse,owed
It will_ therefore_ be readily supposed * their thoughts refused to concentrate themselves on the topics of conversation current in Mrs. Colbrook’s drawing-room.,that,loud,objects,caress
