Then came the cold-blooded * of the still-hunt.,butchery,bountiful,wonderment,escorting
Two of them are struggling_ and one might almost * snarling_ over a bone.,say,thither,tenantless,herdlets
Herd * Mr. Charles Allard_ Flathead Indian Reservation_ Montana.,of,approaching,acknowledge,pleasant
The hair on the fore quarters_ neck_ and head is decidedly shorter_ especially on the head; the frontlet and * beard being conspicuously lacking.,chin,situated,results,should
At the time I speak of_ the hunter seldom had * walk more than 3 miles from camp to find buffalo_ in case there were any at all on his range_ and it was usually an advantage to be without a horse.,to,majesty,manikin,suffering
Mr. McNaney promptly knocked down the old cow_ while I devoted * attention to the bull; but she presently got up and made off unnoticed at the precise moment Mr. McNaney was absorbed in watching my efforts to bring down the old bull.,my,usually,dignity,leave
Mr. Brown packed the bedding on one of the horses and rode the *_ he and Boyd reaching camp about 9 o’clock that night in a blinding snow-storm.,other,animal,doubts,per
After a heavy fall of snow_ the place to find the buffalo was in the flats and creek bottoms_ where the tall_ rank bunch-grasses showed their tops above the snow_ and afforded the best and almost the only * obtainable.,food,breath,noon,impervious
At each of these camps there * generally from two to four cowboys.,were,dignity,grit,cattlegrowers
Sometimes the * moved forward in a dense mass_ and in consequence often came to grief in quicksands_ alkali bogs_ muddy crossings_ and on treacherous ice.,herd,twothirds,basis,broke
I have often noticed * in grazing neither cattle nor horses are able to bite off the blades_ but instead each leaf is pulled out of the tuft_ seemingly by its root.,that,corral,put,freight
Total_ 79 *_ 18 losses_ 57 survivors.,captures,opportunity,somewhere,resisting
Below * point they never descended in any numbers.,this,calculated,circumstantial,new—but
These two dark bands * in sharp contrast to the light sandy hair adjoining.,are,except,pursuers,wideawake
Usually the spike points diverge from each *_ but often they are parallel_ and also perpendicular.,other,cows,delight,decline
Ordinarily_ however_ there was no time * pegging_ nor were pegs available on the range to do the work with.,for,arises,streamheading,hunted
Forty-fourth Congress_ * session_ vol.,first,sparingly,harm,opportunity
C. J. Jones_ * Garden City_ Kans.,of,naturalness,secretion,disappearance
He then stood at bay_ and halting * 30 yards of him I enjoyed the rare opportunity of studying a live bull buffalo of the largest size on foot on his native heath.,within,amounts,at,consulted
Each leg was girdled to * bone_ about 8 inches above the hoof_ and the skin of the leg ripped open from that point along the inside to the median line of the body.,the,mind,wideeyed,over
Down these streams * hides were transported by steam-boats to the nearest railway shipping point.,the,hitch,sometimes,compelled
We spent the night at the Buffalo Buttes * returned to camp the next day.,and,pen,vigor,wait
About 4 miles from our late camp we came suddenly upon a fine old * bull_ feeding in a hollow between two high and precipitous ridges.,solitary,doors,buying,lives
Private West’s experience was a terrible one_ and also a * case of self-preservation.,wonderful,organize,forth,beast
A noted event of the season was the retreat northward across the Yellowstone of the immense herd mentioned by Lieutenant Partello as * seventy-five thousand head; others estimated the number at fifty thousand; and the event is often spoken of to-day by frontiersmen who were in that region at the time.,containing,odd,measuring,fleeing
The Riverside Ranch Company_ south of Mandan_ Dakota_ owns * pair of full-blood buffaloes.,a,letters,sample,render
In our party was an experienced buffalo-hunter_ * in three years had slaughtered over three thousand head for their hides.,who,gentlemen,records,figures
Inasmuch as this calculation was based on actual statistics_ supplemented by personal observations and inquiries made in that region during * great slaughter_ I can do no better than to quote Colonel Dodge almost in full.,the,process,longest,toiled
And let not the bison or the seal be blamed for this_ for * himself exhibits the same foolish instinct.,man,quick,pack,salary
Here we received our freight from * six-mule wagon_ loaded it with bleached skeletons and skulls of buffalo_ and started it back to the post.,the,level,heavilyhaired,weapons
The front * of the chin is similarly clad_ and its form is perfectly flat_ due to the habit of the animal in feeding upon the short_ crisp buffalo grass_ in the course of which the chin is pressed flat against the ground.,part,motionless,proportionally,deeply
At the time of the great division made by the Union Pacific Railway the * body of buffalo extended from the valley of the Platte River northward to the southern shore of Great Slave Lake_ eastward almost to Minnesota_ and westward to an elevation of 8_000 feet in the Rocky Mountains.,northern,original,limited,measured
For about four *_ or until past 11 o’clock_ did this column of buffaloes gallop past the camp over a course no wider than a village street.,hours,elicited,paths,mental
This has given rise to the statement_ so often repeated_ that the Indian killed * enough buffaloes to supply his wants.,only,convenience,flower,plentiful
A squad of soldiers from the Fifth Infantry was sent up on the bluff_ and in * than an hour had killed enough buffaloes to load six four-mule teams with meat.,less,extinguished,halfbreeds,stockmen
Indeed_ as late as October_ 1887_ I gathered up on the open common_ within half * mile of the Northern Pacific Railway depot at the city of Helena_ the skull_ horns_ and numerous odd bones of a large bull buffalo which had been killed there.,a,disappearing,supplementing,decreasing
We saw * buffalo_ nor any signs of any_ until October 13. On that day_ while L. S. Russell was escorting our second load of freight across the High Divide_ he discovered a band of seven buffaloes lying in the head of a deep ravine.,no,botanist,further,keeping
But for his curiosity I should have been obliged to fire at him under very * disadvantages.,serious,called,wildest,bloody
The Cow in * third year.,the,attitude,tail,limits
Without the loss of a single day Colonel Gibson started three teams * an escort up to us_ and notwithstanding his terrible experience_ West had the pluck to accompany them as guide.,and,using,scarce,rarity
Our thanks are due to the officers who were * in command at Fort Keogh during our work_ Col.,successively,baud,lifts,loud
From these it is quite evident that in the northwestern half of the State buffaloes were once * numerous.,fairly,themselves,lesson,providing
A very few pure white robes have * taken_ so I have been told_ chiefly by Indians_ but I have never seen one.,been,illustrated,stands,indomitable
We should expect to see the mountain * smaller in body than the plains animal_ with better leg development_ and particularly with stronger hind quarters.,buffalo,starve,dates,capable
But before she takes half a dozen steps \"bang!\" goes the hidden rifle again_ and * leadership is ended forever.,her,desirability,total,plies
The time was when a band of elk would stand stupidly and wait * its members to be shot down one after another; but it is believed that this was due more to panic than to a lack of comprehension of danger.,for,survivors,prevailing,mines
The unfortunate explorer took very little interest in animated *_ except as it contributed to the sum of his daily food_ which was then the all-important subject of his thoughts.,nature,partial,becoming,hinder
Mr. Cox said he would not have objected to the bill but from the fact * it was partial in its provisions.,that,informing,marksmen,leading
Thirty six hours * our arrival in Miles City our outfit was complete_ and we crossed the Yellowstone and started up the Sunday Creek trail.,after,postoffice,reports,abounds
Western hunters are striving * the honor (?,for,direct,hitch,confidently
Promptly with the coming of the spring_ if not even in the last * of February_ the buffalo begins the shedding of his winter coat.,week,rub,usual,life—muscular
The * bank shows the marks of erosion by water.,whole,realize,hindquarters,newspapers
And then followed a wild rush of hunters to the buffalo country_ eager to destroy as many head as * in the shortest time.,possible,territory,animals,necessarily
Often a thickness of half an inch is gone from * upper half of each horn on its outside curve_ at which point the horn is worn quite flat.,the,been,peaceably,are
With ten thousand buffaloes on their range_ * was considered the height of good luck to find a \"bunch\" of fifty head in a secluded \"draw\" or hollow_ where it was possible to \"make a kill\" without disturbing the big herd.,it,reckoning,asperse,she
The two parties killed fifty-two buffaloes_ of * ten skins were preserved entire for mounting.,which,exceeded,limited,unexpectedly
He wanted a bill that would impose a penalty on every man_ red_ white_ or *_ who may wantonly kill these buffaloes.,black,whereas,surface,harmless
The * rectangular wall-tents were set up end to end_ with the cook-stove in the middle_ where the ends came together.,two,whose,knew,aurochs
Had it not been for stringent laws_ and a rigid enforcement of them by Captain Harris_ the last of the Park buffaloes would * been shot years ago by Vic.,have,procure,rise,longitude
