\"Oh_ no_ you don’t!\" cried Raymond_ and whipping out his revolver he * the man with it.,covered,dog,nice,bazaars
The bullet flattened itself against * rock of the lower side of the cove_ about on a line with the boys’ heads.,the,weapon,effectively,joined
The man sulkily took charge of his donkey_ and drove the animal along * once looking back.,without,curiously,let,palatable
That was the way they felt when they stopped_ but a very little rest will suffice to make healthy boys conscious of gnawing hunger_ especially when they have eaten very little through the day_ as was the case with Sidney * Raymond.,and,carry,gleaming,winds
The other * it melted into indistinguishable blackness.,way,altogether,snow,consultation
After a few moments of * one of them crossed to the farther side of the ravine and walked down on that side_ while the other came down on the same side where the boys were.,talking,admonished,divisions,latter
Sidney took out the passport and presented it to the officer_ * received and read it.,who,surrounded,cases,lonely
The cliff served not only as a wall_ but as a roof_ and with the fire * the \"doorway_\" they were well protected.,in,nice,known,sweeping
The boys did not try even to sit down_ but * up_ one at a time.,stood,attractive,interior,seas
There was *_ however_ to mitigate the hardness of the surface on which they lay_ except their own will to endure it.,nothing,dipped,languorous,tone
\"I fancy I can read it if it is in Russian_\" * Captain Foster_ as he took the paper and glanced over its contents.,said,classed,feel,hind
There * no alarm_ however_ as the day wore on_ and he was finally obliged to confess that Sidney’s prediction was probably accurate_ and that the child had forgotten the incident as soon as it was past.,was,searched,wildlooking,top
\"I don’t * any here.\" And Sidney peered into the knapsack.,find,interminable,prisoner,tilting
\"Wasn’t the trail covered up * before we stopped_ Sid?\" asked Raymond after they had finished their supper and lay in the warmth.,entirely,peaceful,ideal,launched
When their packs were arranged the boys started out_ and passing through a small ravine_ on emerging * a broader valley_ they were cheered to observe the town which was the goal of their day’s journey.,into,clubbing,certainty,community
The fife and the drum vied with each other in the noise they *_ and frequently_ as the couple danced_ there was a fusillade of pistol shots_ fired by the spectators.,made,seconds,hung,release
Sidney * expected to try to send a cable from Tiflis to their mother in New York_ but the station agent had exhibited such density regarding the English language that he decided to wait until they reached Batum.,had,using,assistance,zone
They were at the upper end of the ravine they had been following up_ and only a short distance from the summit_ with an outlook that would_ in daylight_ embrace many miles of the * side of the range.,north,obey,rising,steady
Sidney lay * on the bed and shook with noiseless laughter.,back,knelt,pang,prostrate
For a moment * Princess Mary hung in that terrifying position_ while Captain Foster and the boys clung to the table_ from which all the dishes had been thrown to the floor.,the,performance,smothered,and
While the air of the coach was not so cold as that of the mountain_ the surface on which they had to lie was even harder * the surface of the Caucasus.,than,uncertain,difficulty,yourself
They paused outside the doorway and * intently_ but could hear no sound.,listened,anxious,enabled,succeeded
The rain was still pouring outside_ with a steady roar on the rocks_ but the boys * not notice that_ and it seemed to them that all sounds had stopped.,did,rise,endless,simply
\"Both * them_\" replied the mate.,of,pursuer,hes,scenery
The * fellow_ as soon as he saw the boys_ turned and fled.,little,size,volumes,go
The desire * water increased until it amounted to torture.,for,cheer,for,seas
They * gazing intently toward the opening_ though the darkness was so dense that not even its outline could be distinguished.,were,troops,ample,realize
And always when they opened * bed under some sheltering rock they were at a higher elevation than on the previous night.,their,separated,walk,unroll
If they had ever crossed the Alps in early spring from Switzerland to Italy_ they would have been supplied with a comparison_ though the prospect before them was much grander and more extended than that afforded * the journey down the Alps.,by,recovered,motioning,branches
It was * different from their camp of the previous night_ and_ indeed_ as they lay on the ground looking up at the twinkling stars_ it did not seem possible that such a transformation could be reality and not a dream.,very,shot,missed,remarks
At first the fear of another avalanche had been * incentive to keep forging ahead.,an,assist,supposed,seeming
His * thought was of Raymond.,first,commotion,suction,attempting
And they * very little the day before while in the jail_ for even when there was water to assist_ the food they had was very unpalatable.,ate,time,hunter,fellows
Sometimes there * a descent of not more than a mile in a direct line_ and yet the road was so tortuous that half a day of strenuous walking was required to reach the bottom.,was,floundered,eight,burn
In * morning when the boys looked out of their porthole of a window_ they thought the ship must be still in the Sea of Marmora_ for there was only water to be seen on either side.,the,advice,scrub,wellsheltered
The boys stood in the doorway and tried vainly to * the darkness about them.,pierce,trust,precision,shown
Sidney and Raymond waited on deck * great anxiety.,in,dangers,blinding,guess
Sidney_ who was a few steps behind_ saw the movement and cried a warning to his brother_ who leaped back in * to avoid the thrust.,time,setting,unencumbered,exert
His mouth felt * and stiff and uncomfortably full of something.,queer,traffic,door,ought
While not all of it was * assembled in the raft_ enough of it was put together to support several men.,yet,curiously,war,correspondingly
There * no time_ however_ for any one to jump.,was,especially,joined,bearing
At * such time_ however_ .,one,snow,ascended,clouds
Finally it became dark_ and very dark it was_ *_ inside the jail.,indeed,ripening,waste,welcome
Climbing the bluff in a cab they had tantalizing glimpses of the magnificent *_ and the boys did not want to go into the hotel until they had seen more of it.,view,arrested,capital,underwent
Each time that happened it became increasingly difficult to put * boy on his feet again.,the,safe,kicked,goodbye
